Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
-----------------------------------------------
                                                 <spontaneous>
[167]    0.0    0.01    0.00                 b2Body::SetActive(bool) [167]
-----------------------------------------------
                                                 <spontaneous>
[168]    0.0    0.01    0.00                 b2Vec3::operator*=(float) [168]
-----------------------------------------------
                                                 <spontaneous>
[169]    0.0    0.01    0.00                 b2Vec3::operator+=(b2Vec3 const&) [169]
-----------------------------------------------
                                                 <spontaneous>
[170]    0.0    0.01    0.00                 b2Mat22::SetZero() [170]
-----------------------------------------------
                                                 <spontaneous>
[171]    0.0    0.01    0.00                 b2Contact::GetWorldManifold(b2WorldManifold*) const [171]
-----------------------------------------------
                                                 <spontaneous>
[172]    0.0    0.01    0.00                 b2Fixture::GetFilterData() const [172]
-----------------------------------------------
                                                 <spontaneous>
[173]    0.0    0.00    0.00                 b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [173]
                0.00    0.00  138155/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   27631/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   27631/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   27631/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[174]    0.0    0.00    0.00                 b2Mul(b2Mat22 const&, b2Vec2 const&) [174]
                0.00    0.00  293040/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[175]    0.0    0.00    0.00                 b2EPCollider::ComputeEdgeSeparation() [175]
                0.00    0.00   88972/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   88972/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[176]    0.0    0.00    0.00                 b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [176]
                0.00    0.00   35944/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   32676/2102964     b2Vec2::SetZero() [95]
                0.00    0.00   35944/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[177]    0.0    0.00    0.00                 b2TempPolygon::b2TempPolygon() [177]
                0.00    0.00  355888/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[178]    0.0    0.00    0.00                 b2MixFriction(float, float) [178]
                0.00    0.00   46923/3714080     std::sqrt(float) [65]
-----------------------------------------------
                                                 <spontaneous>
[179]    0.0    0.00    0.00                 b2ClipVertex::b2ClipVertex() [179]
                0.00    0.00  293688/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[180]    0.0    0.00    0.00                 b2CircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [180]
                0.00    0.00   71888/4594226     b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[181]    0.0    0.00    0.00                 b2EPCollider::b2EPCollider() [181]
                0.00    0.00  244673/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[182]    0.0    0.00    0.00                 b2ContactManager::Destroy(b2Contact*) [182]
                0.00    0.00   93472/57057044     b2Fixture::GetBody() [43]
                0.00    0.00   46736/26798723     b2Contact::GetFixtureB() [48]
                0.00    0.00   46736/26798723     b2Contact::GetFixtureA() [54]
-----------------------------------------------
                                                 <spontaneous>
[183]    0.0    0.00    0.00                 b2EdgeAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [183]
                0.00    0.00   44486/4594226     b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[184]    0.0    0.00    0.00                 b2MulT(b2Transform const&, b2Transform const&) [184]
                0.00    0.00   22243/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[185]    0.0    0.00    0.00                 b2Contact::Destroy(b2Contact*, b2BlockAllocator*) [185]
                0.00    0.00   46736/26798723     b2Contact::GetFixtureB() [48]
                0.00    0.00   46736/26798723     b2Contact::GetFixtureA() [54]
-----------------------------------------------
                                                 <spontaneous>
[186]    0.0    0.00    0.00                 b2EdgeAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [186]
                0.00    0.00   34724/4594226     b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[187]    0.0    0.00    0.00                 b2ReferenceFace::b2ReferenceFace() [187]
                0.00    0.00  106585/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[188]    0.0    0.00    0.00                 b2Manifold::b2Manifold() [188]
                0.00    0.00   93846/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[189]    0.0    0.00    0.00                 b2ManifoldPoint::b2ManifoldPoint() [189]
                0.00    0.00   93846/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       1/1           main [158]
[190]    0.0    0.00    0.00       1         cs296::dominos_t::create() [190]
                0.00    0.00       1/1           cs296::dominos_t::dominos_t() [191]
-----------------------------------------------
                0.00    0.00       1/1           cs296::dominos_t::create() [190]
[191]    0.0    0.00    0.00       1         cs296::dominos_t::dominos_t() [191]
                0.00    0.00       1/1           cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00      99/102         b2BodyDef::b2BodyDef() [194]
                0.00    0.00     128/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00      46/136         b2PolygonShape::b2PolygonShape() [197]
                0.00    0.00      16/16          b2RevoluteJointDef::b2RevoluteJointDef() [202]
                0.00    0.00      63/260261481     b2Vec2::b2Vec2(float, float) [1]
                0.00    0.00       2/2           Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00       2/2           b2PulleyJointDef::b2PulleyJointDef() [206]
                0.00    0.00      14/38          b2CircleShape::b2CircleShape() [204]
                0.00    0.00       2/2           Ball::renderAtBodyPosition() [213]
                0.00    0.00       4/4           b2Body::SetLinearVelocity(b2Vec2 const&) [215]
                0.00    0.00       3/6           b2EdgeShape::b2EdgeShape() [216]
                0.00    0.00      10/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00       3/3           b2Body::SetAngularVelocity(float) [220]
                0.00    0.00      42/51          b2FixtureDef::b2FixtureDef() [238]
                0.00    0.00      33/33          b2PolygonShape::~b2PolygonShape() [239]
                0.00    0.00      14/16          b2CircleShape::~b2CircleShape() [241]
                0.00    0.00       4/4           b2Body::GetWorldCenter() const [242]
                0.00    0.00       3/3           b2EdgeShape::~b2EdgeShape() [243]
                0.00    0.00       3/3           b2Body::SetGravityScale(float) [244]
                0.00    0.00       2/2           Ball::~Ball() [246]
-----------------------------------------------
                0.00    0.00       1/1           cs296::dominos_t::dominos_t() [191]
[192]    0.0    0.00    0.00       1         cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00    2048/2048        cs296::contact_point_t::contact_point_t() [193]
                0.00    0.00       1/102         b2BodyDef::b2BodyDef() [194]
                0.00    0.00       1/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00       1/4752617     b2AABB::b2AABB() [68]
                0.00    0.00       1/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00       1/2           b2ContactListener::b2ContactListener() [245]
                0.00    0.00       1/1           debug_draw_t::debug_draw_t() [253]
-----------------------------------------------
                0.00    0.00    2048/2048        cs296::base_sim_t::base_sim_t() [192]
[193]    0.0    0.00    0.00    2048         cs296::contact_point_t::contact_point_t() [193]
                0.00    0.00    4096/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       1/102         cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00       2/102         Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00      99/102         cs296::dominos_t::dominos_t() [191]
[194]    0.0    0.00    0.00     102         b2BodyDef::b2BodyDef() [194]
                0.00    0.00     204/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00     204/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[195]    0.0    0.00    0.00                 b2PolygonShape::SetAsBox(float, float) [195]
                0.00    0.00     200/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00      25/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[196]    0.0    0.00    0.00                 b2Body::ResetMassData() [196]
                0.00    0.00      91/649023      b2Vec2::operator*=(float) [119]
                0.00    0.00     103/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00      91/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     107/2102964     b2Vec2::SetZero() [95]
                0.00    0.00      84/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                0.00    0.00      46/136         cs296::dominos_t::dominos_t() [191]
                0.00    0.00      90/136         b2PolygonShape::Clone(b2BlockAllocator*) const [200]
[197]    0.0    0.00    0.00     136         b2PolygonShape::b2PolygonShape() [197]
                0.00    0.00    2312/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00     136/2102964     b2Vec2::SetZero() [95]
                0.00    0.00     136/180         b2Shape::b2Shape() [234]
-----------------------------------------------
                                                 <spontaneous>
[198]    0.0    0.00    0.00                 b2PolygonShape::SetAsBox(float, float, b2Vec2 const&, float) [198]
                0.00    0.00     128/10913823     b2Vec2::Set(float, float) [12]
-----------------------------------------------
                                                 <spontaneous>
[199]    0.0    0.00    0.00                 b2DynamicTree::CreateProxy(b2AABB const&, void*) [199]
                0.00    0.00     115/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00     115/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     115/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[200]    0.0    0.00    0.00                 b2PolygonShape::Clone(b2BlockAllocator*) const [200]
                0.00    0.00      90/136         b2PolygonShape::b2PolygonShape() [197]
-----------------------------------------------
                                                 <spontaneous>
[201]    0.0    0.00    0.00                 b2Body::b2Body(b2BodyDef const*, b2World*) [201]
                0.00    0.00     224/2102964     b2Vec2::SetZero() [95]
                0.00    0.00     224/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00      16/16          cs296::dominos_t::dominos_t() [191]
[202]    0.0    0.00    0.00      16         b2RevoluteJointDef::b2RevoluteJointDef() [202]
                0.00    0.00      32/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00      32/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00      16/18          b2JointDef::b2JointDef() [240]
-----------------------------------------------
                                                 <spontaneous>
[203]    0.0    0.00    0.00                 b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*) [203]
                0.00    0.00     276/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       2/38          Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00      14/38          cs296::dominos_t::dominos_t() [191]
                0.00    0.00      22/38          b2CircleShape::Clone(b2BlockAllocator*) const [208]
[204]    0.0    0.00    0.00      38         b2CircleShape::b2CircleShape() [204]
                0.00    0.00      38/2102964     b2Vec2::SetZero() [95]
                0.00    0.00      38/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00      38/180         b2Shape::b2Shape() [234]
-----------------------------------------------
                0.00    0.00       2/2           cs296::dominos_t::dominos_t() [191]
[205]    0.0    0.00    0.00       2         Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00       2/102         b2BodyDef::b2BodyDef() [194]
                0.00    0.00       4/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00       2/38          b2CircleShape::b2CircleShape() [204]
                0.00    0.00       2/51          b2FixtureDef::b2FixtureDef() [238]
                0.00    0.00       2/16          b2CircleShape::~b2CircleShape() [241]
-----------------------------------------------
                0.00    0.00       2/2           cs296::dominos_t::dominos_t() [191]
[206]    0.0    0.00    0.00       2         b2PulleyJointDef::b2PulleyJointDef() [206]
                0.00    0.00       8/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00       8/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00       2/18          b2JointDef::b2JointDef() [240]
-----------------------------------------------
                                                 <spontaneous>
[207]    0.0    0.00    0.00                 ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00       6/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00       6/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00       3/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00       1/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00       1/649023      b2Vec2::operator*=(float) [119]
                0.00    0.00       1/260261481     b2Vec2::b2Vec2(float, float) [1]
                0.00    0.00       1/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[208]    0.0    0.00    0.00                 b2CircleShape::Clone(b2BlockAllocator*) const [208]
                0.00    0.00      22/38          b2CircleShape::b2CircleShape() [204]
-----------------------------------------------
                                                 <spontaneous>
[209]    0.0    0.00    0.00                 b2MassData::b2MassData() [209]
                0.00    0.00     103/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[210]    0.0    0.00    0.00                 b2PulleyJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, float) [210]
                0.00    0.00       4/3667157     b2Vec2::Length() const [37]
                0.00    0.00       4/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[211]    0.0    0.00    0.00                 b2CircleShape::ComputeMass(b2MassData*, float) const [211]
                0.00    0.00      18/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[212]    0.0    0.00    0.00                 b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [212]
                0.00    0.00       3/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00       3/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00       3/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       2/2           cs296::dominos_t::dominos_t() [191]
[213]    0.0    0.00    0.00       2         Ball::renderAtBodyPosition() [213]
                0.00    0.00       2/2           Ball::render() [214]
                0.00    0.00       2/2           b2Body::GetPosition() const [247]
                0.00    0.00       2/84          b2Body::GetAngle() const [236]
-----------------------------------------------
                0.00    0.00       2/2           Ball::renderAtBodyPosition() [213]
[214]    0.0    0.00    0.00       2         Ball::render() [214]
                0.00    0.00       2/3667157     b2Vec2::Length() const [37]
                0.00    0.00       2/28485383     float b2Min<float>(float, float) [29]
                0.00    0.00       2/2           b2Body::GetLinearVelocity() const [248]
-----------------------------------------------
                0.00    0.00       4/4           cs296::dominos_t::dominos_t() [191]
[215]    0.0    0.00    0.00       4         b2Body::SetLinearVelocity(b2Vec2 const&) [215]
                0.00    0.00       4/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00       4/1311388     b2Body::SetAwake(bool) [134]
-----------------------------------------------
                0.00    0.00       3/6           cs296::dominos_t::dominos_t() [191]
                0.00    0.00       3/6           b2EdgeShape::Clone(b2BlockAllocator*) const [219]
[216]    0.0    0.00    0.00       6         b2EdgeShape::b2EdgeShape() [216]
                0.00    0.00      24/86561947     b2Vec2::b2Vec2() [26]
                0.00    0.00       6/180         b2Shape::b2Shape() [234]
-----------------------------------------------
                                                 <spontaneous>
[217]    0.0    0.00    0.00                 b2PolygonShape::Set(b2Vec2 const*, int) [217]
                0.00    0.00       3/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[218]    0.0    0.00    0.00                 b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*) [218]
                0.00    0.00      20/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[219]    0.0    0.00    0.00                 b2EdgeShape::Clone(b2BlockAllocator*) const [219]
                0.00    0.00       3/6           b2EdgeShape::b2EdgeShape() [216]
-----------------------------------------------
                0.00    0.00       3/3           cs296::dominos_t::dominos_t() [191]
[220]    0.0    0.00    0.00       3         b2Body::SetAngularVelocity(float) [220]
                0.00    0.00       3/1311388     b2Body::SetAwake(bool) [134]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [223]
[221]    0.0    0.00    0.00       1         _GLOBAL__sub_I__ZN5cs29610test_indexE [221]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [222]
-----------------------------------------------
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN5cs29610test_indexE [221]
[222]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [222]
                0.00    0.00       1/1           cs296::settings_t::settings_t() [224]
                0.00    0.00       1/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[223]    0.0    0.00    0.00                 __libc_csu_init [223]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN5cs29610test_indexE [221]
                0.00    0.00       1/1           _GLOBAL__sub_I__Z14create_glui_uiv [249]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev [250]
-----------------------------------------------
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [222]
[224]    0.0    0.00    0.00       1         cs296::settings_t::settings_t() [224]
                0.00    0.00       1/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[225]    0.0    0.00    0.00                 __static_initialization_and_destruction_0(int, int) [225]
                0.00    0.00       1/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[226]    0.0    0.00    0.00                 b2World::b2World(b2Vec2 const&) [226]
                0.00    0.00       1/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00  448284/448284      b2Island::Report(b2ContactVelocityConstraint const*) [142]
[230]    0.0    0.00    0.00  448284         b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [230]
-----------------------------------------------
                0.00    0.00  448263/448263      b2Contact::Update(b2ContactListener*) [55]
[231]    0.0    0.00    0.00  448263         b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [231]
-----------------------------------------------
                0.00    0.00   38810/38810       b2Contact::Update(b2ContactListener*) [55]
[232]    0.0    0.00    0.00   38810         b2ContactListener::BeginContact(b2Contact*) [232]
-----------------------------------------------
                0.00    0.00   38729/38729       b2Contact::Update(b2ContactListener*) [55]
[233]    0.0    0.00    0.00   38729         b2ContactListener::EndContact(b2Contact*) [233]
-----------------------------------------------
                0.00    0.00       6/180         b2EdgeShape::b2EdgeShape() [216]
                0.00    0.00      38/180         b2CircleShape::b2CircleShape() [204]
                0.00    0.00     136/180         b2PolygonShape::b2PolygonShape() [197]
[234]    0.0    0.00    0.00     180         b2Shape::b2Shape() [234]
-----------------------------------------------
                0.00    0.00      51/166         b2FixtureDef::b2FixtureDef() [238]
                0.00    0.00     115/166         b2Fixture::b2Fixture() [562]
[235]    0.0    0.00    0.00     166         b2Filter::b2Filter() [235]
-----------------------------------------------
                0.00    0.00       2/84          Ball::renderAtBodyPosition() [213]
                0.00    0.00      82/84          b2RevoluteJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&) [428]
[236]    0.0    0.00    0.00      84         b2Body::GetAngle() const [236]
-----------------------------------------------
                0.00    0.00       3/52          b2EdgeShape::~b2EdgeShape() [243]
                0.00    0.00      16/52          b2CircleShape::~b2CircleShape() [241]
                0.00    0.00      33/52          b2PolygonShape::~b2PolygonShape() [239]
[237]    0.0    0.00    0.00      52         b2Shape::~b2Shape() [237]
-----------------------------------------------
                0.00    0.00       2/51          Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00       7/51          b2Body::CreateFixture(b2Shape const*, float) [491]
                0.00    0.00      42/51          cs296::dominos_t::dominos_t() [191]
[238]    0.0    0.00    0.00      51         b2FixtureDef::b2FixtureDef() [238]
                0.00    0.00      51/166         b2Filter::b2Filter() [235]
-----------------------------------------------
                0.00    0.00      33/33          cs296::dominos_t::dominos_t() [191]
[239]    0.0    0.00    0.00      33         b2PolygonShape::~b2PolygonShape() [239]
                0.00    0.00      33/52          b2Shape::~b2Shape() [237]
-----------------------------------------------
                0.00    0.00       2/18          b2PulleyJointDef::b2PulleyJointDef() [206]
                0.00    0.00      16/18          b2RevoluteJointDef::b2RevoluteJointDef() [202]
[240]    0.0    0.00    0.00      18         b2JointDef::b2JointDef() [240]
-----------------------------------------------
                0.00    0.00       2/16          Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00      14/16          cs296::dominos_t::dominos_t() [191]
[241]    0.0    0.00    0.00      16         b2CircleShape::~b2CircleShape() [241]
                0.00    0.00      16/52          b2Shape::~b2Shape() [237]
-----------------------------------------------
                0.00    0.00       4/4           cs296::dominos_t::dominos_t() [191]
[242]    0.0    0.00    0.00       4         b2Body::GetWorldCenter() const [242]
-----------------------------------------------
                0.00    0.00       3/3           cs296::dominos_t::dominos_t() [191]
[243]    0.0    0.00    0.00       3         b2EdgeShape::~b2EdgeShape() [243]
                0.00    0.00       3/52          b2Shape::~b2Shape() [237]
-----------------------------------------------
                0.00    0.00       3/3           cs296::dominos_t::dominos_t() [191]
[244]    0.0    0.00    0.00       3         b2Body::SetGravityScale(float) [244]
-----------------------------------------------
                0.00    0.00       1/2           cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00       1/2           __static_initialization_and_destruction_0(int, int) [262]
[245]    0.0    0.00    0.00       2         b2ContactListener::b2ContactListener() [245]
-----------------------------------------------
                0.00    0.00       2/2           cs296::dominos_t::dominos_t() [191]
[246]    0.0    0.00    0.00       2         Ball::~Ball() [246]
-----------------------------------------------
                0.00    0.00       2/2           Ball::renderAtBodyPosition() [213]
[247]    0.0    0.00    0.00       2         b2Body::GetPosition() const [247]
-----------------------------------------------
                0.00    0.00       2/2           Ball::render() [214]
[248]    0.0    0.00    0.00       2         b2Body::GetLinearVelocity() const [248]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [223]
[249]    0.0    0.00    0.00       1         _GLOBAL__sub_I__Z14create_glui_uiv [249]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [252]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [223]
[250]    0.0    0.00    0.00       1         _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev [250]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [251]
-----------------------------------------------
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev [250]
[251]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [251]
                0.00    0.00       1/1           cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [255]
-----------------------------------------------
                0.00    0.00       1/1           _GLOBAL__sub_I__Z14create_glui_uiv [249]
[252]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [252]
-----------------------------------------------
                0.00    0.00       1/1           cs296::base_sim_t::base_sim_t() [192]
[253]    0.0    0.00    0.00       1         debug_draw_t::debug_draw_t() [253]
-----------------------------------------------
                0.00    0.00       1/1           main [158]
[254]    0.0    0.00    0.00       1         cs296::base_sim_t::get_world() [254]
-----------------------------------------------
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [251]
[255]    0.0    0.00    0.00       1         cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [255]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.


Index by function name

 [249] _GLOBAL__sub_I__Z14create_glui_uiv (main.cpp) [6] b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [139] b2Island::Add(b2Body*)
 [221] _GLOBAL__sub_I__ZN5cs29610test_indexE (callbacks.cpp) [164] b2RevoluteJoint::Dump() [140] b2Island::Add(b2Joint*)
 [250] _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev (dominos.cpp) [85] b2SimplexVertex::b2SimplexVertex() [141] b2Island::Clear()
 [128] _GLOBAL__sub_I_b2_defaultFilter (b2ContactManager.cpp) [50] b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [19] b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  [22] b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [102] b2WorldManifold::b2WorldManifold() [142] b2Island::Report(b2ContactVelocityConstraint const*)
  [13] b2TestOverlap(b2AABB const&, b2AABB const&) [127] b2ContactManager::AddPair(void*, void*) [63] b2Island::SolveTOI(b2TimeStep const&, int, int)
 [114] b2PairLessThan(b2Pair const&, b2Pair const&) [73] b2ContactManager::Collide() [194] b2BodyDef::b2BodyDef()
  [67] b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [113] b2DistanceOutput::b2DistanceOutput() [123] b2Contact::SetEnabled(bool)
 [116] b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [206] b2PulleyJointDef::b2PulleyJointDef() [54] b2Contact::GetFixtureA()
 [130] b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [121] b2StackAllocator::Free(void*) [48] b2Contact::GetFixtureB()
